name,album,date,acousticness,danceability,energy,liveness,speechiness,tempo,valence,popularity,minutes
Cruel Summer,Lover,2019-08-23,0.117,0.552,0.702,0.105,0.157,169.994,0.564,98,2.97
august,folklore,2020-07-24,0.538,0.532,0.623,0.0925,0.0331,89.937,0.403,91,4.37
cardigan,folklore,2020-07-24,0.537,0.613,0.581,0.25,0.0424,130.033,0.551,90,3.99
Lover,Lover,2019-08-23,0.492,0.359,0.543,0.118,0.0919,68.534,0.453,90,3.69
Don’t Blame Me,reputation,2017-11-10,0.106,0.615,0.534,0.0607,0.0386,135.917,0.193,90,3.94
Blank Space,1989 (Deluxe),2014-01-01,0.103,0.76,0.703,0.0913,0.054,95.997,0.57,90,3.86
Style,1989 (Deluxe),2014-01-01,0.00245,0.588,0.791,0.118,0.0402,94.933,0.487,90,3.85
I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,0.0586,0.694,0.764,0.0608,0.0337,123.044,0.819,88,4.55
Karma,Midnights,2022-10-21,0.0734,0.642,0.62,0.483,0.0666,90.02,0.0969,88,3.41
Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,0.012,0.505,0.532,0.149,0.0265,81.907,0.216,87,5.89
Delicate,reputation,2017-11-10,0.216,0.75,0.404,0.0911,0.0682,95.045,0.0499,86,3.87
Getaway Car,reputation,2017-11-10,0.00465,0.562,0.689,0.0888,0.127,172.054,0.351,86,3.89
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,0.274,0.631,0.518,0.088,0.0303,93.023,0.205,85,10.22
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,0.0623,0.632,0.773,0.0885,0.0346,130.033,0.474,85,3.85
The Man,Lover,2019-08-23,0.0767,0.777,0.658,0.0901,0.054,110.048,0.633,85,3.17
Paper Rings,Lover,2019-08-23,0.0129,0.811,0.719,0.0742,0.0497,103.979,0.865,85,3.71
Look What You Made Me Do,reputation,2017-11-10,0.204,0.766,0.709,0.126,0.123,128.07,0.506,85,3.53
Shake It Off,1989 (Deluxe),2014-01-01,0.0647,0.647,0.8,0.334,0.165,160.078,0.942,85,3.65
Back To December (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,0.00621,0.497,0.635,0.117,0.0273,142.063,0.203,84,4.90
Lavender Haze,Midnights,2022-10-21,0.258,0.733,0.436,0.157,0.08,96.985,0.0976,84,3.37
Midnight Rain,Midnights,2022-10-21,0.69,0.643,0.363,0.115,0.0767,139.865,0.23,84,2.91
Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,0.0122,0.569,0.741,0.333,0.0282,100.118,0.43,84,4.03
Mine (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,0.00444,0.646,0.783,0.171,0.0356,121.08,0.49,83,3.86
"You're On Your Own, Kid",Midnights,2022-10-21,0.401,0.696,0.396,0.125,0.0656,120.041,0.38,83,3.24
Bejeweled,Midnights,2022-10-21,0.0618,0.696,0.559,0.0887,0.0693,163.999,0.433,83,3.24
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,0.0033,0.402,0.732,0.108,0.0484,161.032,0.472,83,4.05
Daylight,Lover,2019-08-23,0.808,0.557,0.496,0.0772,0.0563,149.983,0.265,83,4.89
...Ready For It?,reputation,2017-11-10,0.0527,0.613,0.764,0.197,0.136,160.015,0.417,83,3.47
Gorgeous,reputation,2017-11-10,0.0713,0.8,0.535,0.213,0.135,92.027,0.451,83,3.49
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,0.000886,0.496,0.885,0.191,0.0803,145.863,0.665,82,3.67
